band t mag emag
W 0.287708333333 17.58 0.05
UW2 0.29037037037 17.65 0.104403065089
UW2 0.293009259259 17.63 0.104403065089
UW2 0.295648148148 17.63 0.104403065089
UW2 0.298287037037 17.61 0.11401754251
U 0.336168981481 17.97 0.0948683298051
U 0.336168981481 17.57 0.0538516480713
U 0.336168981481 18.5 0.133416640641
U 0.336168981481 18.1 0.133416640641
U 0.33880787037 17.84 0.104403065089
U 0.33880787037 18.1 0.104403065089
U 0.33880787037 17.96 0.0948683298051
U 0.33880787037 17.51 0.0538516480713
U 0.341446759259 18.02 0.0948683298051
U 0.341446759259 18.12 0.11401754251
U 0.341446759259 17.61 0.0538516480713
U 0.341446759259 17.76 0.104403065089
U 0.344074074074 17.49 0.0538516480713
U 0.344074074074 17.65 0.104403065089
U 0.344074074074 18.06 0.104403065089
U 0.344074074074 18.09 0.104403065089
B 0.346736111111 17.64 0.0728010988928
B 0.349375 17.6 0.0728010988928
B 0.352013888889 17.7 0.0728010988928
B 0.354652777778 17.67 0.0728010988928
W 0.357314814815 17.47 0.05
W 0.359953703704 17.5 0.05
W 0.362592592593 17.51 0.05
W 0.365219907407 17.5 0.05
UW1 0.403125 17.9 0.104403065089
UW1 0.405763888889 17.76 0.0948683298051
UW1 0.408402777778 17.69 0.0948683298051
UW1 0.411041666667 17.75 0.0948683298051
U 0.413703703704 17.78 0.104403065089
U 0.413703703704 17.9 0.104403065089
U 0.413703703704 17.53 0.0538516480713
U 0.413703703704 18.07 0.104403065089
U 0.416342592593 17.45 0.0538516480713
U 0.416342592593 17.76 0.0948683298051
U 0.416342592593 17.65 0.104403065089
U 0.416342592593 17.96 0.104403065089
U 0.418981481481 17.63 0.104403065089
U 0.418981481481 17.53 0.0538516480713
U 0.418981481481 17.69 0.0948683298051
U 0.418981481481 17.96 0.104403065089
U 0.421608796296 17.63 0.104403065089
U 0.421608796296 17.75 0.0948683298051
U 0.421608796296 18.04 0.104403065089
U 0.421608796296 17.54 0.0538516480713
B 0.424270833333 17.58 0.0728010988928
B 0.426909722222 17.69 0.0728010988928
B 0.429548611111 17.72 0.0728010988928
B 0.4321875 17.63 0.0824621125124
UM2 0.470081018519 17.8 0.104403065089
UM2 0.472719907407 17.71 0.104403065089
UM2 0.475358796296 17.63 0.0948683298051
UM2 0.477997685185 17.78 0.104403065089
UW1 0.480659722222 17.68 0.0948683298051
UW1 0.483287037037 17.64 0.0948683298051
UW1 0.485925925926 17.7 0.0948683298051
UW1 0.488564814815 17.68 0.0948683298051
U 0.491226851852 17.68 0.0948683298051
U 0.491226851852 17.61 0.11401754251
U 0.491226851852 17.57 0.0538516480713
U 0.491226851852 18.05 0.123693168769
U 0.493865740741 17.64 0.0948683298051
U 0.493865740741 17.66 0.104403065089
U 0.493865740741 17.53 0.0538516480713
U 0.493865740741 17.8 0.104403065089
U 0.49650462963 17.51 0.0538516480713
U 0.49650462963 17.71 0.104403065089
U 0.49650462963 17.7 0.0948683298051
U 0.49650462963 17.59 0.104403065089
U 0.499143518519 17.63 0.0948683298051
U 0.499143518519 17.68 0.0948683298051
U 0.499143518519 17.49 0.0538516480713
U 0.499143518519 17.6 0.104403065089
UW2 0.537037037037 17.66 0.104403065089
UW2 0.539675925926 17.59 0.104403065089
UW2 0.542314814815 17.6 0.104403065089
UW2 0.544953703704 17.68 0.104403065089
V 0.547615740741 17.72 0.140356688476
V 0.550243055556 17.89 0.160312195419
V 0.552881944444 17.67 0.130384048104
V 0.555520833333 17.71 0.140356688476
UM2 0.55818287037 17.73 0.104403065089
UM2 0.560821759259 17.67 0.104403065089
B 0.603993055556 17.64 0.0824621125124
B 0.606631944444 17.71 0.0824621125124
B 0.609270833333 17.69 0.0824621125124
B 0.611909722222 17.84 0.0824621125124
W 0.614560185185 17.53 0.05
W 0.617199074074 17.51 0.05
W 0.619837962963 17.52 0.05
W 0.622476851852 17.5 0.05
UW2 0.625138888889 17.75 0.104403065089
UW2 0.627777777778 17.69 0.104403065089
U 0.670949074074 17.68 0.104403065089
U 0.670949074074 17.75 0.0948683298051
U 0.670949074074 17.57 0.0538516480713
U 0.670949074074 17.78 0.104403065089
U 0.673576388889 17.57 0.0538516480713
U 0.673576388889 17.73 0.104403065089
U 0.673576388889 17.8 0.0948683298051
U 0.673576388889 17.75 0.104403065089
U 0.676215277778 17.69 0.104403065089
U 0.676215277778 17.56 0.0538516480713
U 0.676215277778 17.67 0.104403065089
U 0.678854166667 17.63 0.0538516480713
B 0.681516203704 17.66 0.0728010988928
B 0.684155092593 17.62 0.0728010988928
B 0.686793981481 17.51 0.0921954445729
B 0.68943287037 17.68 0.0728010988928
W 0.692094907407 17.53 0.05
W 0.694733796296 17.58 0.05
W 0.697372685185 17.5 0.05
W 0.700011574074 17.54 0.05
UW1 0.737893518519 17.75 0.0948683298051
UW1 0.740532407407 17.8 0.0948683298051
U 0.748472222222 17.56 0.0538516480713
U 0.751111111111 17.68 0.0538516480713
U 0.75375 17.62 0.0538516480713
U 0.756377314815 17.64 0.0632455532034
B 0.806238425926 17.86 0.101980390272
B 0.808877314815 17.68 0.0824621125124
B 0.811516203704 17.61 0.0728010988928
B 0.814155092593 17.78 0.0824621125124
W 0.81681712963 17.63 0.05
W 0.819456018519 17.65 0.05
W 0.822094907407 17.64 0.05
W 0.824733796296 17.6 0.05
V 0.88375 18.03 0.180277563773
V 0.886388888889 18.08 0.180277563773
V 0.889027777778 17.77 0.140356688476
V 0.891666666667 17.91 0.160312195419
B 0.938761574074 17.83 0.101980390272
B 0.941400462963 17.77 0.0921954445729
B 0.944039351852 17.92 0.0921954445729
B 0.946678240741 17.91 0.0921954445729
W 0.949340277778 17.76 0.05
W 0.951979166667 17.79 0.05
W 0.954618055556 17.73 0.05
W 0.957256944444 17.76 0.05
U 1.00571759259 17.83 0.0632455532034
U 1.00835648148 17.76 0.0632455532034
U 1.0109837963 17.85 0.0632455532034
U 1.01363425926 17.81 0.0538516480713
B 1.01628472222 17.82 0.0824621125124
B 1.01892361111 17.92 0.0824621125124
B 1.0215625 17.83 0.0824621125124
B 1.02420138889 17.91 0.0824621125124
W 1.02685185185 17.85 0.05
W 1.02949074074 17.84 0.05
W 1.0321412037 17.83 0.05
W 1.03478009259 17.85 0.0565685424949
V 1.08324074074 18.07 0.180277563773
V 1.08587962963 17.97 0.170293863659
V 1.08850694444 18.01 0.180277563773
V 1.09115740741 17.95 0.160312195419
B 1.13961805556 18.01 0.111803398875
B 1.14225694444 17.99 0.101980390272
B 1.14489583333 18.12 0.111803398875
B 1.14753472222 17.86 0.0824621125124
W 1.15018518519 17.97 0.05
W 1.15282407407 18.01 0.05
W 1.15546296296 17.95 0.05
